0xc917c942a81cebed9a8ff33b0d1d8b74296762c2,1645335318000,93829,stake
0x3142268d5bd84567d56c3f0cfa1bb3f98c7bf06a,1645292299000,192364,stake
0xe69be3d6e5162c9a86fc67fb042cb24f6921be71,1645201960000,49266,stake
0xe69be3d6e5162c9a86fc67fb042cb24f6921be71,1638961873000,7059,stake
0xe69be3d6e5162c9a86fc67fb042cb24f6921be71,1637606942000,20800,stake
0x43cca1e5b479c3af964a0a387893a2a241faa958,1645089870000,198392,stake
0x1bb7951ba30eda67bf3e5d851fe5e0e6a01a14b5,1644948408000,40000,stake
0xa29938d059664f7bca45e2188e0b5604f3c16fa6,1644658514000,30000,stake
0xce397aa9258de16636bf86a27e965d17c0813782,1644535431000,1000000,stake
0xce397aa9258de16636bf86a27e965d17c0813782,1636642380000,1658815,stake
0xce397aa9258de16636bf86a27e965d17c0813782,1634923299000,153700,stake
0x6ad3c76b174dd2e147f4a6538036a844c0ab6b93,1644296535000,5600775,stake
0x6ad3c76b174dd2e147f4a6538036a844c0ab6b93,1643175644000,4458599,stake
0x6ad3c76b174dd2e147f4a6538036a844c0ab6b93,1639377130000,2000000,stake
0x6ad3c76b174dd2e147f4a6538036a844c0ab6b93,1637305831000,1742836,stake
0x6ad3c76b174dd2e147f4a6538036a844c0ab6b93,1633068931000,11134208,stake
0x5c85259865dcf61a8ad9289d73e6b4364024ef6f,1644240418000,18659,stake
0x5c85259865dcf61a8ad9289d73e6b4364024ef6f,1644172762000,97475,stake
0x2cd42a753a6fd7e3669d198f4271146643ce6ce2,1644235343000,317421,stake
0x2cd42a753a6fd7e3669d198f4271146643ce6ce2,1639305063000,387842,stake
0x5ab8b6ad2a64cc3f1a0eca09e0fc02a3eb3afc05,1644077286000,704736,stake
0x2c3c15dba0337f0bd1bdad83fe5a6c15580d605a,1643891435000,422128,stake
0x9b8a8b1d0d236f5369289c584c93da03cfb3f016,1643860261000,100768,stake
0xbd56ae4a9b9a63bdb3dbaee502e4e951a2d031a2,1643790969000,332075,stake
0x35019830f7d41f4ece3619e7904389efd5a44297,1643688340000,799097,stake
0x35019830f7d41f4ece3619e7904389efd5a44297,1643435973000,200010,stake
0x065ce66f13f390fa7200462ffa4a6284480c4d5a,1643686657000,413385,stake
0x065ce66f13f390fa7200462ffa4a6284480c4d5a,1642621588000,71265,stake
0x065ce66f13f390fa7200462ffa4a6284480c4d5a,1634082221000,1496207,stake
0x0df2d4d9ab03bc747d237db1cd56b9f0c668128c,1643611666000,400000,stake
0xd222806b8f9d73482b3c7f8fd446ebbf6adefc80,1643055028000,5611109,stake
0x2e13df4c51a3c4a5e34ddf7fb6ce4b2e87c9a489,1642684546000,4853091,stake
0x5bd7c5f9a3c2f08062a0683e4b6631ad1f5febf2,1642595328000,9000,stake
